platform,artist,project,songTitle,bpm,key,genre,tags,locationCreated,originalReleaseDate,recordLabel,publisher,license,image,losslessAudio,duration,tokenID
Catalog,Dutchyyy,Dutchyyy,Where are we headed?,nan,NaN,NaN,['electronic'],NaN,NaN,NaN,NaN,NaN,ipfs://QmfMu3zDC485PCJi7e6AjSvB8NVrHsMGKVLWocnU7u4gpF,ipfs://QmQUnBzug22XSiJtPazhAqNBjLVUhXKkYrMmmjQaj4V2RR,200.856,117
Catalog,cumulus frisbee,cumulus frisbee,Hyperplex,87,NaN,NaN,"['electronic', 'powerful']",NaN,NaN,NaN,NaN,NaN,ipfs://QmZXXrFTzDQS1ReKsZXFihyHMT8Vbd4yPELWxge6m7MjKn,ipfs://QmRPhY7PxeADdVSoQkNzxoNrV37KZURhAX8V8PkVZVGJht,160.052,119
Catalog,Danny Dwyer,Danny Dwyer,Love Thyself (w/ j.robb),81,NaN,NaN,"['r&b', 'soul', 'romantic']",NaN,NaN,NaN,NaN,NaN,ipfs://Qma1nZsGZ2gAnHo9yzrMNFkZYjghE4AzcNJx21fAmN75uq,ipfs://Qmar4QYASbjftqcJKhaqdDmKXjhjuyF5XASxLmVPFrnPih,196.08,120
Catalog,dot,dot,Ambush,126,NaN,NaN,"['house', 'electronic', 'energetic']",NaN,NaN,NaN,NaN,NaN,ipfs://QmaXdziR7yysTRoNqQsqkK3FBvaqPKjA7FxWRggCWrayDa,ipfs://Qmc6Qe1UZ1Aga6DmeDRre36xTQNJuQzTMcvipVAfGWf2Vy,237.087,121
Catalog,Yung.Raj,Yung.Raj,Broken Transmissions,nan,NaN,NaN,"['ambient', 'electronic', 'neutral']",NaN,NaN,NaN,NaN,NaN,ipfs://QmTgPMUNh448y7AxWGqXJmrkeeQYZ2G4HC2safPfs8AcjN,ipfs://QmaYA5e9PStZwsymJM67ZJ9gsuna9PHd64CNopRu2u7fTr,213.055,122
Catalog,MELVV,MELVV,Want It,125,NaN,NaN,"['electronic', 'energetic']",NaN,NaN,NaN,NaN,NaN,ipfs://QmUJMmRxCwzYJVCvXERiJ4gM7ChbzexTJbEkZFdFAv8Vqq,ipfs://QmRGj5P8dU7dWjtvfwscqgVc7ufruKZkvybM1y6JW7Fo53,301.488,123
Catalog,theotheomusic,theotheomusic,RESET,140,NaN,NaN,['electronic'],NaN,NaN,NaN,NaN,NaN,ipfs://QmXfW7NYRz6uXUQ3oYWs5T5hBLJuUFaq5LGshXD2xYLJZE,ipfs://QmWXGLhY7vNUUeK6Xri2C4aRxL9RhQALNoDicMZFi48E6v,157.936,124
Catalog,Dutchyyy,Dutchyyy,Sub(Marine)UnderBrooklyn,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmfMu3zDC485PCJi7e6AjSvB8NVrHsMGKVLWocnU7u4gpF,ipfs://QmPFNTxVTY7hFitiKp5M4z9DFTc1Wrc2m4ic4soyoNizMV,240.048,125
Catalog,max fry,max fry,Observatory,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmPR56hRP2UxzybGUsgmpbwQcy7ezoPLVNQsvxVhpAtPAB,ipfs://QmNs4u4oCYLsRWdpkaBwkxNg1v7ABz3eYuan6YXfd7G6Us,134.452,126
Catalog,max fry,max fry,nightmares (w/ still haze),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmNVUFKARCUkZKaYMU9SkJrfJwKjuagLUG8Nd5L5Y7gcYL,ipfs://QmQnyFnFhzqvJ7BjwoUEri9R7X5QsnFAp3VCNxhrTkcvAG,266.005,127
Catalog,Dutchyyy,Dutchyyy,Tingles,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmYkPrBpUPqG8s6hNvtjEjDvVmYB11vMjK9MbTiCNf5TiY,ipfs://Qmef3TfM5Pd8sMH15eH7PepFGPb2Dpm6RCwYPmsHhrz5Zw,222.067,128
Catalog,Dutchyyy,Dutchyyy,AnotherLilCrumble,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmYp5Tmj4fViL9muufYEkYE8Hitt3KwwqGdV6uaRBjbwnK,ipfs://QmY4SM6scopRShara4q2etpci9VAVC71KtcVzykGCVAbyN,155.448,129
Catalog,CONNiE DiGiTAL,CONNiE DiGiTAL,TUESDAY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmVxDDLw9Ac2NEnuNypmDv6DM6xV5FJD7u5wnXymFNfeRr,ipfs://QmUWfoqxfaREkLHDh6eLd9tq8PNtppLaj8DApdJoYybvXY,62.76,131
Catalog,Alex Siegel,Alex Siegel,Headspin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmbzFBTYLi8TuUkjMtg42Qrh3ipaM4hBcqBKUP77L6GDtc,ipfs://Qmczqjix1aNosMStmYjBpXaCWfqHtruDwg1935XS4ikk3N,225.802,132
Catalog,Player Dave,Player Dave,Where the Wind Blew Me,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmPqFjYscSZKPXbBtuZks8SezbV7Dkwft8g3dweN44K94z,ipfs://QmcF6ETfFmYjbV9PzbrAVfVxhuoCE4pa7y6BzkoSAx4Q9R,1747.801,133
Catalog,max fry,max fry,max fry (from hedsTAPE 04),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmRJFYmhFyshpjBvkkb5LMus8RpFX5ynijgMi3SYRjqqi7,ipfs://QmecNMuuiyJUBEvyHPAU1GHgSoRiL7jJTUns56dzWxVoau,62.929,134
Catalog,Théo,Théo,Azure,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmdQ9H4Gmf79ZYiLEkcGM3duvdhUa3HkUD6NyLAG2AuTxx,ipfs://QmaFgc1NNqUdq5qteg84oZ1frX1vhts2CMai8YJ3wCJGWw,186.984,135
Catalog,Oceantied,Oceantied,Swim,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmQuhWbp4B3M124iwEBiz7qgutPbUsqrhhECBQDm9qVVb9,ipfs://QmczhdFqTWMndWhcY2j7q1EuTAJpSPcJKXgxmhwP8NYA6A,156.84,136
Catalog,wilter,wilter,coming home,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmeizgyYndoCaArffBFQ46NricctGXMqAJtpdz59hXuAqn,ipfs://QmZMJG6fJv65E4jmjRmNZuQHAH6E1cJWZCEzTw7QDNykJx,114.364,137
Catalog,Yung.Raj,Yung.Raj,freewheelin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmNxVYnWZVuDaWvMY2PoAk3arwwpsPJHrVYiss9UfeYRJ2,ipfs://QmUHeFh6F6nnnpbZ4YfLTKNFB7sM2in4YoGhDdUNUpCvHb,118.073,138
Catalog,allem iversom,allem iversom,where it's warm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmQvyszmAVqxiH8Q4UuqkhtYqPpUE3c5bag45ncyp8yaYs,ipfs://QmWUpDX4hbdgTe4DbVnscU5wsxBqCW3sjKmwejvJpeiSM7,183.954,139
Catalog,PEARSON,PEARSON,Smoke Break,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmZyoupF1ZWbCjeGT6ACBr3cZcZtXKoBvTo8G4ohYGgRyG,ipfs://Qmc3DvuJ13v6UEbmicaiGwecCNvapQUF8VknP69Kiz6QHc,182.857,140
Catalog,maddeof,maddeof,Baba & Maddeof - Dreaming in Pixels,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmQWRv1MD1nxDGuGJoGXoWUkxQXy8UmfsYiBiStXP6BUiN,ipfs://QmcU25c5j15RwmxNs69pzbL99saXPHKvVcDtv7H5sL4hbu,118.753,141
Catalog,PEARSON,PEARSON,Still on Seen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmaXG9VFaxGj8oPFJ3kJZLUhU3uyyjcPWG1qmvEfre7maD,ipfs://QmWaURN9Gk8Y99gDL6fdTcHetBhJ6WyWpkxFG9Uhfta5zy,186.07,142
Catalog,0x-Jitzu,0x-Jitzu,TOKYO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmUYweN2Hm6GRrY46RpGyUq32jUFaaCZZaETmM69JvWLP1,ipfs://QmVdHJdxJ3XL4gFuBAMQUKbLhZwLgqkvrNnEcbbqpBv45W,386.9,143
Catalog,Player Dave,Player Dave,Petal w/ Black Carl!,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmVXmqQZ8jvHTocnarTtmcaZSw4XHxtjRz9WyPZwT3wqKp,ipfs://QmVeGkRFobCQCo8a786uXMkhNYtfw9Mcm9atRon2tTBwSB,209.11,144
Catalog,Lackhoney,Lackhoney,"FUNKBRO [FROM THE ""SWEETS"" COLLECTION]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmaYUHZQHu8RtHBrUL8ZqbUJYPKnZmEmRM4mXrSCwCvXMA,ipfs://QmWSwtbf8WpREZd5BqnNC6ZaHGH5Ar2VyqnN2teSYajbxT,30.067,145
Catalog,alec king,alec king,Peanut Butter Cherry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmNUfFjha365k6GguBBzPWtSVkaBsBRnd7L549gZu8XY8q,ipfs://QmNRGQoToeK1UHvfuNNoSTRVK3nDcwnjVEBUfkSyz1uEyf,176.568,146
Catalog,alec king,alec king,Tundra,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmXHqsvDVPuQrV5XE693N2uPWnYiFKh4i4nEdaKP536DFT,ipfs://QmfPZPJviksihTm5VMw9TqfGLNkuCKE2WGmP24FyuEVrNw,114.547,147
Catalog,alec king,alec king,Fell In Love 1nce,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmUcxgx7fs9jfX43pXNGs2pPGCZJcPfbEau9xXXiVPdk5c,ipfs://QmW44Gpn28o8QbfBCstVjJZKUP46UQ3BPbqiVQv3weszPP,174.341,148
Catalog,bloody white,bloody white,beach day,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmWUsyNvZ5z8QSaa2cG6NY5oMFfT57QJF7ES2c4CZgfNt2,ipfs://Qme9UXK7YFRmimaYcUhCBmPzRYzkjb3qDEABwW23FuK9fm,85.055,149
Catalog,bloody white,bloody white,kenopsia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmWUsyNvZ5z8QSaa2cG6NY5oMFfT57QJF7ES2c4CZgfNt2,ipfs://QmQarqqofYsPVPorAoar7FnyAPLDrofT49Wf85NKHTWhiu,56.633,150
Catalog,Lackhoney,Lackhoney,SWEETS [THE ALBUM],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmYGCCf1RXAkcZJwUGEiQk3w2KjJBkvPH1jqkzvssqs3ug,ipfs://QmbXyPCgtFWLZbpt75YJ2akqAcc4HVhj2ph1r4MNceZmCJ,360.072,152
Catalog,malfnktion,malfnktion,Heist Track,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://Qmb1An14hxJSH278ENP6xSUQe9tE6VsHj7N43NM3jJNFe6,ipfs://QmP2rSBrHBYEGC6rtD5YpfjmuLUuF6Ngzxgd1Tsh7e8gtj,207.073,153
Catalog,remcycles,remcycles,? {01/10/22},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmVbbCzhKWWA97aJLHLumtrntC33ncMzM7FbHVeAAEQueN,ipfs://QmVkAM7rRKnK7EdLFWu7KA6L49kRjRyvzHR1xZUpQMAW8T,93.384,158
Catalog,tyler coolidge,tyler coolidge,PEACH AND BOWSER,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmRQwqPG45csUA69mQBpx3JX6qYTVqMiMUY54NZnXZMVMq,ipfs://QmV5HLWAtCxyp2hbnqs8DGs6dBa6jy8tTf1AZNRacSy1DG,281.913,159
Catalog,Pauline Herr ｡･:*:･ﾟ☆,Pauline Herr ｡･:*:･ﾟ☆,Survive,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmVkBHdBDBWoLMYfgzr4M6kPBJMNopErqm75G2S6Rd1QsL,ipfs://Qmaat8TYzU7DMvDyANfEUf1cWQjmv4nmnYTuUV1CGSwd5v,176.901,160
Catalog,dot,dot,Since I Found You,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmaXdziR7yysTRoNqQsqkK3FBvaqPKjA7FxWRggCWrayDa,ipfs://QmQ7rWZ9GasLMe4haK4pMgSEw3nziFSdYSFA3QWdZqBCJT,266.789,161
Catalog,FRQ NCY,FRQ NCY,TYPE 1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ipfs://QmSxdarvztW4x1btyiV3ENBHzydPp7VJ4Hn41yQ1w7pvtf,ipfs://QmbhR9igb8waGRKShwa6Pa5ufVx4caCxHqcY8nJk7d7xzT,158.981,162
